"","x"
"1",7
"2",7
"3",1
"4",3
"5",3
"6",2
"7",6
"8",6
"9",3
"10",6
"11",7
"12",4
"13",4
"14",5
"15",5
"16",1
"17",6
"18",2
"19",6
"20",4
"21",7
"22",7
"23",1
"24",4
"25",1
"26",6
"27",1
"28",1
"29",6
"30",6
"31",5
"32",1
"33",1
"34",7
"35",3
"36",6
"37",5
"38",6
"39",4
"40",3
"41",7
"42",7
"43",4
"44",5
"45",5
"46",2
"47",2
"48",6
"49",7
"50",6
"51",4
"52",5
"53",6
"54",5
"55",1
"56",4
"57",3
"58",2
"59",7
"60",7
"61",5
"62",6
"63",2
"64",1
"65",6
"66",3
"67",2
"68",2
"69",6
"70",6
"71",5
"72",4
"73",2
"74",5
"75",3
"76",6
"77",7
"78",1
"79",1
"80",7
"81",7
"82",3
"83",2
"84",1
"85",6
"86",7
"87",6
"88",5
"89",4
"90",2
"91",2
"92",4
"93",7
"94",1
"95",6
"96",3
"97",2
"98",1
"99",6
"100",6
"101",7
"102",2
"103",4
"104",4
"105",3
"106",1
"107",1
"108",4
"109",2
"110",6
"111",2
"112",6
"113",5
"114",5
"115",1
"116",6
"117",1
"118",3
"119",4
"120",7
"121",6
"122",7
"123",4
"124",7
"125",1
"126",1
"127",2
"128",5
"129",4
"130",4
"131",5
"132",2
"133",2
"134",4
"135",5
"136",4
"137",7
"138",1
"139",3
"140",1
"141",1
"142",6
"143",1
"144",6
"145",1
"146",7
"147",7
"148",3
"149",4
"150",2
"151",6
"152",2
"153",3
"154",4
"155",4
"156",6
"157",7
"158",5
"159",6
"160",5
"161",1
"162",4
"163",6
"164",3
"165",5
"166",2
"167",1
"168",5
"169",7
"170",1
"171",2
"172",1
"173",7
"174",4
"175",7
"176",1
"177",1
"178",1
"179",6
"180",5
"181",2
"182",5
"183",3
"184",5
"185",5
"186",1
"187",5
"188",7
"189",4
"190",7
"191",3
"192",7
"193",6
"194",4
"195",3
"196",3
"197",6
"198",3
"199",4
"200",4
