"","x"
"1",8
"2",6
"3",6
"4",9
"5",11
"6",7
"7",7
"8",3
"9",3
"10",5
"11",2
"12",1
"13",11
"14",7
"15",4
"16",11
"17",11
"18",4
"19",9
"20",9
"21",4
"22",1
"23",5
"24",4
"25",9
"26",11
"27",5
"28",8
"29",8
"30",1
"31",3
"32",6
"33",5
"34",1
"35",11
"36",2
"37",11
"38",2
"39",8
"40",11
"41",4
"42",2
"43",3
"44",7
"45",11
"46",10
"47",8
"48",11
"49",5
"50",11
"51",7
"52",8
"53",2
"54",9
"55",5
"56",5
"57",2
"58",8
"59",4
"60",5
"61",9
"62",10
"63",7
"64",2
"65",8
"66",9
"67",4
"68",3
"69",1
"70",11
"71",10
"72",10
"73",7
"74",7
"75",2
"76",1
"77",8
"78",7
"79",4
"80",7
"81",6
"82",5
"83",11
"84",5
"85",5
"86",4
"87",1
"88",7
"89",5
"90",5
"91",8
"92",11
"93",7
"94",1
"95",11
"96",1
"97",2
"98",1
"99",11
"100",6
"101",10
"102",1
"103",1
"104",1
"105",8
"106",11
"107",8
"108",2
"109",9
"110",3
"111",4
"112",2
"113",8
"114",5
"115",2
"116",10
"117",4
"118",11
"119",4
"120",4
"121",6
"122",9
"123",4
"124",2
"125",11
"126",1
"127",7
"128",9
"129",1
"130",8
"131",6
"132",7
"133",11
"134",2
"135",6
"136",4
"137",3
"138",8
"139",8
"140",6
"141",1
"142",11
"143",2
"144",2
"145",10
"146",6
"147",1
"148",1
"149",7
"150",3
"151",6
"152",6
"153",11
"154",9
"155",2
"156",10
"157",11
"158",5
"159",2
"160",10
"161",6
"162",9
"163",11
"164",5
"165",4
"166",2
"167",11
"168",8
"169",7
"170",11
"171",4
"172",10
"173",5
"174",10
"175",3
"176",5
"177",2
"178",2
"179",3
"180",3
"181",10
"182",9
"183",7
"184",8
"185",11
"186",5
"187",1
"188",10
"189",10
"190",1
"191",2
"192",8
"193",8
"194",10
"195",6
"196",3
"197",11
"198",7
"199",5
"200",5
